name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
place2seb,5.14300773,68,3.5,3.7,3.6
amitkrg124,5.10347687,67,3.5,3.7,3.6
yashoswal48,4.678087622,74,3.2,4,3.6
anirudhsinghsanger,5.590037557,60,3.7,3.4,3.55
rk6568886,8.182753653,35,4.8,2.2,3.5
ankitadev1405,8.067943907,37,4.7,2.3,3.5
shaikhbatool.f,5.207424594,62,3.6,3.4,3.5
shubham.raj2015,4.696961726,67,3.3,3.7,3.5
sunilbasera1705,4.427325451,71,3.1,3.9,3.5
subburuddarraju4,4.689166258,67,3.2,3.7,3.45
rajeshvanga147,4.424686192,69,3.1,3.8,3.45
sharmagudal,5.601105481,56,3.7,3.1,3.4
vedant10dubey2016,5.739709443,55,3.8,3,3.4
satham.edu,4.227480916,71,2.9,3.9,3.4
rukeshsai70,6.335479381,44,4.1,2.6,3.35
19998abhishek16,3.91037791,68,2.8,3.8,3.3
shikharsaxena50,3.906695866,70,2.8,3.8,3.3
prashantgajul10,2.918896653,81,2.4,4.2,3.3
mohinisingh27111997,5.461833315,48,3.7,2.8,3.25
raaniji72,4.586399764,57,3.2,3.3,3.25
ajeet10496,4.284412834,63,3,3.5,3.25
swapawar58,4.914567901,56,3.3,3.1,3.2
pavankumarnani555,2.774904156,75,2.3,4.1,3.2
paragsawant732,4.570100559,56,3.2,3.1,3.15
umangtyagi7060,7.493734336,23,4.5,1.8,3.15
souravchatterjee81198,5.082503679,52,3.4,2.9,3.15
swapnildhamal7895,4.178619502,62,2.9,3.4,3.15
patilswati1818,3.914132581,62,2.8,3.5,3.15
syedubed09,6.189956332,35,4,2.2,3.1
ashishjha109jsr,5.283833284,44,3.6,2.6,3.1
12.sameerraj,5.181330951,45,3.5,2.7,3.1
kanchanvkadam,4.303868104,56,3,3.2,3.1
sauravkumar9572kr,3.555035129,66,2.6,3.6,3.1
shubham.thakur908,5.087871102,48,3.4,2.8,3.1
samyukthasreepadi003,4.20039256,60,2.9,3.3,3.1
PARBHANELAHU11,5.697607656,39,3.7,2.4,3.05
mandalepramod95,4.411984752,48,3.1,2.9,3
prakashrahangdale1708,6.008419441,25,4,1.9,2.95
rahul007mec,4.711036819,44,3.3,2.6,2.95
deebalashmi2019,4.534366626,46,3.1,2.8,2.95
nagarjundhar,4.268093782,53,3,2.9,2.95
amitjaiswal1606,2.645320197,64,2.2,3.6,2.9
sushantagarwal78,3.753311972,55,2.7,3,2.85
Aniketsahu16,4.967796274,37,3.4,2.3,2.85
samsuletg,3.73678447,51,2.7,2.9,2.8
rilkerajnish,2.76058861,57,2.3,3.2,2.75
ravikirangaikwad3,3.897135783,44,2.8,2.6,2.7
official360priti,3.101607617,54,2.4,3,2.7
satveersingh12sept,2.685392936,57,2.2,3.2,2.7
anchal15698,2.61008071,56,2.2,3.2,2.7
rvenkatesh700,2.519806839,57,2.1,3.2,2.65
msahu7362,3.988159311,39,2.9,2.4,2.65
divyanshugupta62,3.336415491,46,2.5,2.8,2.65
Clashcode7,3.190462833,47,2.5,2.8,2.65
ankitpathrikar,3.949514385,37,2.8,2.3,2.55
salmankhh8,3.411899314,39,2.6,2.4,2.5
avulaganeshlpu,2.167336753,54,2,3,2.5
bollamalla.vardhan,3.880357746,35,2.7,2.2,2.45
mansitagadiya24,2.68615153,43,2.3,2.6,2.45
iamsahil555,2.580482897,45,2.1,2.7,2.4
vipulsharma.vm4,2.884691759,41,2.3,2.5,2.4
Vibhanshusingh100,3.698303979,29,2.7,2,2.35
prasanthgayu1999,2.899628253,36,2.4,2.3,2.35
irshadansari079,7.875,-126,4.6,0,2.3
rajsakhare8116,3.618999749,25,2.7,1.9,2.3
66sambyal,3.268370607,31,2.5,2.1,2.3
swapnilshende1998,2.099063963,46,1.9,2.7,2.3
vk1516354027,2.897613652,35,2.3,2.2,2.25
